2022-12-13T11:20:40.269347+0300 | INFO | <reviews>. Добавлено документов 1 из 10
2022-12-13T11:20:40.273444+0300 | INFO | <reviews>. Добавлено документов 2 из 10
2022-12-13T11:20:40.277075+0300 | INFO | <reviews>. Добавлено документов 3 из 10
2022-12-13T11:20:40.281444+0300 | INFO | <reviews>. Добавлено документов 4 из 10
2022-12-13T11:20:40.284809+0300 | INFO | <reviews>. Добавлено документов 5 из 10
2022-12-13T11:20:40.288122+0300 | INFO | <reviews>. Добавлено документов 6 из 10
2022-12-13T11:20:40.291272+0300 | INFO | <reviews>. Добавлено документов 7 из 10
2022-12-13T11:20:40.294671+0300 | INFO | <reviews>. Добавлено документов 8 из 10
2022-12-13T11:20:40.297987+0300 | INFO | <reviews>. Добавлено документов 9 из 10
2022-12-13T11:20:40.301600+0300 | INFO | <reviews>. Добавлено документов 10 из 10
2022-12-13T11:20:40.301783+0300 | INFO | <reviews>. Время загрузки данных: 0:00:00.032616
2022-12-13T11:20:40.306573+0300 | INFO | <reviews_likes>. Добавлено документов 1 из 10
2022-12-13T11:20:40.310261+0300 | INFO | <reviews_likes>. Добавлено документов 2 из 10
2022-12-13T11:20:40.313736+0300 | INFO | <reviews_likes>. Добавлено документов 3 из 10
2022-12-13T11:20:40.316975+0300 | INFO | <reviews_likes>. Добавлено документов 4 из 10
2022-12-13T11:20:40.320111+0300 | INFO | <reviews_likes>. Добавлено документов 5 из 10
2022-12-13T11:20:40.323490+0300 | INFO | <reviews_likes>. Добавлено документов 6 из 10
2022-12-13T11:20:40.326974+0300 | INFO | <reviews_likes>. Добавлено документов 7 из 10
2022-12-13T11:20:40.330203+0300 | INFO | <reviews_likes>. Добавлено документов 8 из 10
2022-12-13T11:20:40.333717+0300 | INFO | <reviews_likes>. Добавлено документов 9 из 10
2022-12-13T11:20:40.337249+0300 | INFO | <reviews_likes>. Добавлено документов 10 из 10
2022-12-13T11:20:40.337436+0300 | INFO | <reviews_likes>. Время загрузки данных: 0:00:00.031608
2022-12-13T11:20:40.343979+0300 | INFO | <bookmarks>. Добавлено документов 1 из 10
2022-12-13T11:20:40.346992+0300 | INFO | <bookmarks>. Добавлено документов 2 из 10
2022-12-13T11:20:40.350194+0300 | INFO | <bookmarks>. Добавлено документов 3 из 10
2022-12-13T11:20:40.353513+0300 | INFO | <bookmarks>. Добавлено документов 4 из 10
2022-12-13T11:20:40.356893+0300 | INFO | <bookmarks>. Добавлено документов 5 из 10
2022-12-13T11:20:40.360033+0300 | INFO | <bookmarks>. Добавлено документов 6 из 10
2022-12-13T11:20:40.363703+0300 | INFO | <bookmarks>. Добавлено документов 7 из 10
